ID_FA,ID_MetaEdu,Inclusiveness,Met_structure,Metaphor,Literal,Translation (Eng),Met_Topic,Met_Vehicle,Lit_Topic,Length_Met_Topic,Length_Vehicle,Length_Lit_Topic,MEA(M)MetaEdu_Met,MEA(Mdn)MetaEdu_Met,MEA(SD)MetaEdu_Met,DIFF(M)MetaEdu_Met,DIFF(Mdn)MetaEdu_Met,DIFF(SD)MetaEdu_Met,FAM(M)MetaEdu_Met,FAM(Mdn)MetaEdu_Met,FAM(SD)MetaEdu_Met,MEA(M)MetaEdu_Lit,MEA(Mdn)MetaEdu_Lit,MEA(SD)MetaEdu_Lit,DIFF(M)MetaEdu_Lit,DIFF(Mdn)MetaEdu_Lit,DIFF(SD)MetaEdu_Lit,FAM(M)MetaEdu_Lit,FAM(Mdn)MetaEdu_Lit,FAM(SD)MetaEdu_Lit,Cloze13_Met(%),Cloze13_Lit(%),Bambini et al. (2013),Bambini et al. (2016),Canal et al. (2022),Bambini et al. (2024),Lago et al. (2024),IUSS NEPLab MoveMe study,IUSS NEPLab MetaBody study,IUSS NEPLab MetaImagery study,IUSS NEPLab MetaStep study
FA001,met_1,4,Nominal predicative,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,Illustrando la mappa l'architetto segnala che gli scarichi sono fogne per i rifiuti tossici.,"After a garlic-based dinner, breaths are unbearable sewers.",alito,fogna,scarico,5,5,7,3,3,1,"2,375",2,"1,407885953","3,1",3,"1,370320319","3,833333333",4,"0,7527726527","2,333333333",2,"0,5163977795","4,7",5,"0,6749485577",0,0,Y,Y,N,N,Y,N,Y,N,Y
FA002,met_2,"5,8",Nominal predicative,Nei processi importanti certi avvocati sono squali senza scrupoli.,Durante la visita la guida spiega che i pesci nell'acquario sono squali ferocissimi.,"In important trials, certain lawyers are unscrupulous sharks.",avvocato,squalo,pesce,8,6,5,4,"4,5","1,549193338","1,666666667",2,"0,5163977795","3,857142857",4,"1,463850109","4,333333333",4,"0,7071067812","1,125",1,"0,3535533906",4,4,"1,054092553",0,0,Y,N,Y,N,N,N,N,Y,N
FA003,met_3,"6,6",Nominal predicative,Secondo l'opinione del generale quegli eserciti sono dighe insormontabili.,Gli ingegneri informano che le costruzioni pianificate sono dighe anti alluvioni.,"According to the general’s opinion, those armies are insurmountable dams.",esercito,diga,costruzione,8,4,11,"2,777777778",2,"1,092906421","2,125",2,"0,991031209",1,1,0,"4,166666667",5,"1,602081979","1,333333333",1,"0,5163977795",4,4,"0,9428090416",0,0,Y,Y,N,N,Y,N,N,N,Y
FA004,met_4,"6,8",Nominal predicative,Quando il tempo stringe gli oratori sono treni ad altà velocità.,I convogli presenti nel vecchio deposito sono treni in uso cento anni fa.,"When time is running out, orators are high-speed trains.",oratorio,treno,convoglio,8,5,9,"2,857142857",3,"1,214985793","1,714285714",2,"0,755928946",2,2,"1,095445115","3,833333333",4,"0,9831920803","1,833333333","1,5","1,169045194","3,444444444",4,"1,509230856",0,0,Y,N,N,N,N,N,N,N,N
FA005,met_5,"8,2",Nominal predicative,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,Il documentario spiega che i roditori della montagna sono scoiattoli dalla lunga coda.,"In high-altitude climbing, climbers are very agile squirrels.",scalatore,scoiattolo,roditore,9,10,8,"3,666666667",4,"1,032795559",2,2,"0,894427191","2,2",2,"1,229272594","4,166666667","4,5","1,169045194","1,333333333",1,"0,5163977795","3,714285714",3,"0,9511897312",0,0,Y,N,Y,N,N,N,N,Y,Y
FA006,met_6,4,Nominal predicative,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,Nella cura delle emicranie le sostanze in fase di sperimentazione sono medicine potentissime.,"Sometimes, in the education of teenagers, slaps are effective medicines.",schiaffo,medicina,sostanza,9,8,8,"3,5",4,"0,8366600265",2,2,"0,632455532","2,333333333",2,"1,224744871","4,166666667",4,"0,7527726527","1,666666667",2,"0,5163977795","4,666666667",5,"0,5163977795",0,0,Y,N,N,N,N,N,N,N,N
FA007,met_7,"7,8",Nominal predicative,Specialmente per le coste italiane gli uragani sono carrarmati devastanti.,Alla parata militare i blindati più impressionanti sono carrarmati usati in guerra.,"Especially for the Italian coasts, hurricanes are devastating tanks.",uragano,carrarmato,blindato,7,10,8,"2,333333333","2,5","1,211060142","2,333333333","2,5","1,211060142","2,111111111",2,"1,054092553","3,5",4,"1,378404875","1,833333333","1,5","0,9831920803","3,166666667",3,"1,169045194",0,0,Y,Y,N,N,Y,N,Y,N,N
FA008,met_8,"6,4",Nominal predicative,Davanti ad una punizione certi bambini sono fontane inarrestabili.,All'inaugurazione del giardino viene spiegato che i nuovi impianti sono fontane notturne.,"In the face of punishment, certain children are unstoppable fountains.",bambino,fontana,impianto,7,7,8,"2,888888889",3,"0,6009252126","2,375",3,"0,9161253813","1,6",1,"0,8432740427","2,666666667",3,"1,366260102","2,333333333",2,"1,505545305","2,3",2,"1,251665557",0,0,Y,N,N,N,N,N,N,Y,N
FA009,met_9,6,Nominal predicative,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,A carnevale i mostri più diffusi sono vampiri dai denti affilati.,"In the world of financial speculation, bankers are ever-thirsty vampires.",banchiere,vampiro,mostro,9,7,6,"3,833333333",4,"1,169045194","1,5","1,5","0,5477225575","4,166666667","4,5","1,169045194","4,428571429",4,"0,5345224838","1,142857143",1,"0,377964473","3,166666667",3,"1,722401424",0,0,Y,N,Y,N,N,N,N,Y,Y
FA010,met_10,"8,4",Nominal predicative,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,I dirigenti sanitari spiegano che quei medici sono chirurghi afferenti all'ospedale.,"In the use of sharp razors, barbers are highly specialized surgeons.",barbiere,chirurgo,medico,8,8,6,"2,666666667",3,"1,505545305",2,2,"0,632455532","2,833333333",3,"1,169045194",5,5,0,1,1,0,"3,333333333",4,"1,861898673",0,0,Y,N,N,N,N,N,N,N,N
FA011,met_11,"4,6",Nominal predicative,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,I parassiti che infestano le piante d'appartamento sono zecche o pidocchi.,"In work environments, colleagues are often annoying ticks.",collega,zecca,parassita,7,5,9,"3,666666667",4,"1,032795559","1,5","1,5","0,5477225575","2,888888889",3,"1,054092553","4,5","4,5","0,5477225575","1,166666667",1,"0,4082482905","2,5",2,"1,378404875",0,0,Y,Y,N,N,Y,N,N,Y,Y
FA012,met_12,8,Nominal predicative,All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,Nei quiz gli indovinelli misteriosi sono rebus molto difficili.,"To the eye of a novice investigator, certain crimes are unsolvable riddles.",delitto,rebus,indovinello,7,5,11,"4,166666667","4,5","0,9831920803","1,5","1,5","0,5477225575",3,3,"1,414213562","3,5",4,"1,224744871","1,666666667",2,"0,5163977795","3,333333333","3,5","1,632993162",0,0,Y,N,N,N,N,N,N,N,N
FA013,met_13,8,Nominal predicative,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,I genitori spiegano al bambino che gli insetti del fiume sono grilli agilissimi.,"At the Olympic gymnastics finals, gymnasts are extremely agile crickets.",ginnasta,grillo,insetto,8,6,7,"3,5",4,"0,8366600265","1,666666667","1,5","0,8164965809","2,333333333",2,"0,8164965809","4,142857143",4,"1,069044968","1,285714286",1,"0,4879500365","2,666666667","2,5","1,632993162",0,0,Y,N,N,N,N,N,N,N,N
FA014,met_14,4,Nominal predicative,In certi sport americani i giocatori sono elefanti dalla mole imponente.,Negli zoo asiatici i mammiferi in gabbia sono elefanti provenienti dall'India.,"In certain American sports, players are elephants of imposing size.",giocatore,elefante,mammifero,9,8,9,"2,5","2,5","1,378404875","2,166666667",2,"0,7527726527","1,428571429",1,"0,5345224838","4,444444444",4,"0,5270462767","1,875","1,5","1,356202682","3,1",3,"0,8755950358",0,0,Y,N,N,N,N,N,N,N,N
FA015,met_15,"5,2",Nominal predicative,Durante gli scandali nazionali i giornalisti sono avvoltoi senza morale.,I predatori che compaiono nei libri di scienze sono avvoltoi della savana.,"During national scandals, journalists are vultures without morals.",giornalista,avvoltoio,predatore,11,9,9,"4,555555556",5,"0,5270462767","1,125",1,"0,3535533906","4,2",4,"0,7888106377","4,5","4,5","0,5477225575","1,666666667",2,"0,5163977795","4,2",4,"0,7888106377",0,0,Y,N,Y,N,N,N,N,Y,N
FA016,met_16,"8,4",Nominal predicative,Nella formazione culturale di ogni persona certi libri sono bussole di grande utilità.,Nel kit per il campeggio i dispositivi più costosi sono bussole ad alta precisione.,"In the cultural formation of every person, certain books are highly useful compasses.",libro,bussola,dispositivo,5,7,11,"3,714285714",4,"0,4879500365","3,142857143",3,"1,069044968",2,2,"0,894427191","4,166666667",5,"1,602081979",2,1,"1,673320053","3,555555556",4,"0,8819171037",0,0,Y,N,N,N,N,N,N,N,N
FA017,met_17,"6,8",Nominal predicative,Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,Nei velieri vichinghi le lampade più antiche sono lanterne a olio.,"In the education of young people, certain teachers are lanterns that light the way.",maestro,lanterna,lampada,7,8,7,"2,888888889",3,"0,9279607271","2,125",2,"0,6408699445",1,1,0,"3,666666667","3,5","1,211060142","1,5",1,"0,8366600265","3,3","3,5","1,33749351",0,0,Y,N,N,N,N,N,N,N,N
FA018,met_18,"7,2",Nominal predicative,Nelle campagne elettorali certi politici sono calamite per i voti.,Gli oggetti usati per abbellire il frigorifero sono calamite con decori artigianali.,"In election campaigns, certain politicians are magnets for votes.",politico,calamita,oggetto,8,8,7,"2,666666667","2,5","1,632993162","2,166666667",2,"0,7527726527","2,571428571",3,"0,9759000729","4,555555556",5,"0,7264831573","1,375",1,"0,5175491695","3,9",4,"1,197219",0,0,Y,N,N,N,N,N,N,N,N
FA019,met_19,7,Nominal predicative,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,Gli schedari presenti negli uffici comunali sono archivi pubblici e consultabili da tutti.,"In downtown apartment buildings, concierges are archives ready to gossip.",portinaio,archivio,schedario,9,8,9,"2,333333333",2,"1,505545305","2,333333333",2,"0,5163977795","1,333333333",1,"0,8164965809","4,428571429",5,"0,7867957925","1,142857143",1,"0,377964473",3,3,"1,897366596",0,0,Y,N,N,N,N,N,N,N,N
FA020,met_20,"8,4",Nominal predicative,Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,Nella biblioteca i volumi più antichi sono enciclopedie di inizio novecento.,"Especially in the humanities, certain professors are encyclopedias full of knowledge.",professore,enciclopedia,volume,10,12,6,4,4,1,"1,285714286",1,"0,4879500365","3,833333333","3,5","0,9831920803","3,833333333",4,"0,7527726527","1,833333333",2,"0,7527726527","4,111111111",4,"1,054092553",0,0,Y,N,N,N,N,N,N,Y,N
FA021,met_21,"7,4",Nominal predicative,Dopo un grave lutto certi ricordi sono spine dolorose.,Nelle piante carnivore le punte delle foglie sono spine acuminate e taglienti.,"After a deep loss, certain memories are painful thorns.",ricordo,spina,punta,7,5,5,"3,777777778",4,"0,8333333333","1,625",2,"0,5175491695","4,1",4,"0,8755950358","3,666666667",4,"1,032795559","2,166666667",2,"0,7527726527","3,5","3,5","1,08012345",0,0,Y,N,N,N,N,N,N,N,N
FA022,met_22,"6,4",Nominal predicative,Nel combattimento corpo a corpo certi soldati sono leoni senza paura.,Nelle zone equatoriali i felini a rischio di estinzione sono leoni e ghepardi selvatici.,"In hand-to-hand combat, certain soldiers are fearless lions.",soldato,leone,felino,7,5,6,"3,833333333",4,"1,471960144","1,666666667",1,"1,211060142","2,8",3,"0,9189365835","4,833333333",5,"0,4082482905","1,5","1,5","0,5477225575",4,4,1,0,0,Y,Y,N,N,N,N,N,N,N
FA024,met_23,"8,2",Nominal predicative,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,Nei centri termali i trattamenti a base di fanghi sono terapie molto efficaci.,"After a year of hard work, trips are guaranteed therapies.",viaggio,terapia,trattamento,7,7,11,"3,166666667","3,5","1,169045194","1,833333333",2,"0,7527726527","3,166666667",3,"0,7527726527","4,428571429",5,"0,7867957925","1,571428571",2,"0,5345224838","3,833333333","4,5","1,602081979",0,0,Y,N,N,N,N,N,N,N,N
FA025,met_24,"5,8",Nominal predicative,Secondo la giornalista di moda quelle acconciature sono cespugli incolti.,Al castello abbandonato le siepi di recinzione sono cespugli incolti.,"According to the fashion journalist, those hairstyles are unkempt bushes.",acconciatura,cespuglio,siepe,12,9,5,"3,5",3,"0,8366600265","2,333333333",2,"1,032795559","4,166666667","4,5","0,9831920803","3,571428571",4,"1,397276262","1,857142857",2,"0,8997354108",3,3,"1,897366596",0,0,Y,Y,N,Y,Y,N,N,Y,Y
FA026,met_25,"8,2",Nominal predicative,Durante la gara di formula uno le automobili sono frecce velocissime.,Per gli indiani d'america le armi più efficaci erano frecce dalla punta affilata.,"During a Formula One race, the cars are extremely fast arrows.",automobile,freccia,arma,10,7,4,"4,166666667",4,"0,7527726527","1,833333333",2,"0,7527726527","3,9",4,"0,7378647874","4,333333333","4,5","0,8164965809","1,666666667","1,5","0,8164965809","3,571428571",3,"0,7867957925",0,0,Y,N,N,N,N,N,N,N,N
