ID_FA,ID_Metabody,Inclusiveness,Met_structure,Metaphor,Literal,Translation (Eng),Met_topic,Met_vehicle,Lit_vehicle,Length_Topic,Length_Met_Vehicle,Length_Lit_Vehicle,Freq_VehicleMetabody_Met,Logfreq_VehicleMetabody_Met,Freq_VehicleMetabody_Lit,Logfreq_VehicleMetabody_Lit,FamMetabody_Met,SensMetabody_Met,BodyMetabody_Met,FamMetabody_Lit,SensMetabody_Lit,BodyMetabody_Lit,Bambini et al. (2013),Bambini et al. (2016),Canal et al. (2022),Bambini et al. (2024),Lago et al. (2024),IUSS NEPLab MoveMe study,IUSS NEPLab MetaImagery study,IUSS NEPLab MetaEducation study,IUSS NEPLab MetaStep study
FA001,BODY_Met_3,4,Nominal predicative,Quell'alito è una fogna,Quell'alito è fresco,That breath is a gutter,alito,fogna,fresco,5,5,6,17,1.23,51,"1,71","5,423076923","6,384615385","5,884615385",6,"6,076923077","6,307692308",Y,Y,N,N,Y,N,N,Y,Y
FA007,OBJECT_Met_11,"7,8",Nominal predicative,Quell'uragano è un carrarmato,Quell'uragano è devastante,That hurricane is a tank,uragano,carrarmato,devastante,7,10,10,1,0,24,"1,38","2,807692308","4,961538462","2,192307692","5,75",6,"2,541666667",Y,Y,N,N,Y,N,N,Y,N
FA029,OBJECT_Met_21,"7,6",Nominal predicative,Quella borsa è un macigno,Quella borsa è davvero capiente,That bag is a boulder,borsa,macigno,capiente,5,7,8,15,1.18,40,"1,6",,"5,791666667",3,"6,769230769","6,576923077","2,961538462",Y,N,N,N,N,N,N,Y,N
FA032,OBJECT_Met_13,"5,6",Nominal predicative,Quella città è una giungla,Quella città è proprio caotica,That city is a jungle,città,giungla,caotico,5,7,7,24,1.38,15,"1,18","5,961538462","6,307692308","3,307692308","4,916666667","5,291666667","2,375",Y,N,N,N,N,N,N,Y,Y
FA035,BODY_Met_12,"6,4",Nominal predicative,Quelle guance sono pesche,Quelle guance sono pallide,That cheek is a peach,guancia,pesca,pallido,7,5,7,109,2.04,22,"1,34","4,423076923","5,346153846","5,769230769","6,333333333",6,"6,75",Y,N,N,Y,N,N,N,Y,N
FA047,BODY_Met_2,"7,2",Nominal predicative,Quel bacio è un peperoncino,Quel bacio è appassionato,That kiss is a chili pepper,bacio,peperoncino,appassionato,5,11,12,14,1.1499999999999999,93,"1,97","1,884615385","3,692307692","4,115384615","6,5","6,291666667","5,875",N,Y,N,Y,Y,N,N,N,Y
FA054,BODY_Met_5,"5,2",Nominal predicative,Quella bocca è una fragola,Quella bocca è morbida,That mouth is a strawberry,bocca,fragola,morbido,5,7,7,30,1.48,10,1,"3,192307692",4,"5,192307692","6,291666667","5,833333333","6,708333333",N,Y,N,Y,Y,N,N,N,Y
FA069,OBJECT_Met_12,"7,4",Nominal predicative,Quella locomotiva è un drago,Quella locomotiva è rumorosa,That locomotive is a dragon,locomotiva,drago,rumoroso,10,5,8,25,1.4,111,"2,05","2,038461538","4,038461538","1,346153846","6,5","6,208333333","2,916666667",N,Y,N,N,Y,N,N,N,Y
FA076,BODY_Met_9,"3,8",Nominal predicative,Quella ruga è un burrone,Quella ruga è molto sottile,That wrinkle is a ravine,ruga,burrone,sottile,4,7,7,7,0.85,7,"0,85","2,461538462","4,346153846","5,076923077","6,625","6,083333333","2,375",N,Y,N,N,N,N,N,N,Y
FA080,OBJECT_Met_23,"6,2",Nominal predicative,Quel vestito è una tenda,Quel vestito è molto corto,That dress is a tent,vestito,tenda,corto,7,5,5,85,1.93,16,"1,2",,"4,833333333","3,458333333","6,5","6,384615385","4,807692308",N,N,N,Y,Y,N,N,N,N
FA083,OBJECT_Met_20,"8,4",Nominal predicative,Quel lago è un cristallo,Quel lago è artificiale,That lake is a crystal,lago,cristallo,artificiale,4,9,11,49,1.69,10,1,,"5,541666667","2,291666667","6,384615385","6,423076923","3,153846154",N,Y,N,Y,Y,N,N,N,Y
FA084,BODY_Met_1,"8,4",Nominal predicative,Quel sorriso è una stella,Quel sorriso è contagioso,That smile is a star,sorriso,stella,contagioso,7,6,10,261,2.42,14,"1,15","3,807692308","4,923076923","5,153846154","6,666666667","6,583333333","6,125",N,Y,N,N,Y,N,N,N,Y
FA088,BODY_Met_4,"5,2",Nominal predicative,Quella pelle è una porcellana,Quella pelle è ruvida,That skin is a porcelain,pelle,porcellana,ruvido,5,10,6,NA,NA,30,"1,48","4,807692308","5,346153846","5,846153846","5,75","6,041666667","6,625",N,N,N,N,Y,N,N,N,N
FA089,BODY_Met_22,"8,4",Nominal predicative,Quel prato è un velluto,Quel prato è fiorito,That meadow is a velvet,prato,velluto,fiorito,5,7,7,42,1.62,37,"1,57","4,166666667","5,083333333","2,416666667","6,961538462","6,692307692","6,961538462",N,N,N,N,Y,N,N,N,N
FA094,BODY_Met_6,"5,2",Nominal predicative,Quel mento è un precipizio,Quel mento è sporgente,That chin is a precipice,mento,precipizio,sporgente,5,10,9,1,0,10,1,"2,307692308","3,884615385","5,115384615","6,291666667","5,916666667","6,333333333",N,Y,N,N,Y,N,N,N,Y
FA095,BODY_Met_7,"5,8",Nominal predicative,Quel viso è una seta,Quel viso è molto magro,That visage is a silk,viso,seta,magro,4,4,5,NA,NA,12,"1,08","4,346153846",5,"5,961538462","4,083333333","4,833333333","5,666666667",N,Y,N,N,Y,N,N,N,Y
FA099,OBJECT_Met_10,"7,8",Nominal predicative,Quella nebbia è un muro,Quella nebbia è proprio fitta,That fog is a wall,nebbia,muro,fitto,7,4,5,343,2.54,7,"0,85","5,923076923","6,076923077","2,615384615","6,125","6,041666667","2,541666667",N,Y,N,N,Y,N,N,N,Y
FA113,BODY_Met_10,"5,8",Nominal predicative,Quell'orecchio è una padella,Quell'orecchio è arrossato,That ear is a pan,orecchio,padella,arrossato,8,7,9,42,1.62,93,"1,97","3,038461538","4,692307692","5,346153846","5,916666667","5,666666667","6,541666667",N,N,N,N,Y,N,N,N,N
FA117,BODY_Met_11,"6,4",Nominal predicative,Quella mano è una grattugia,Quella mano è rugosa,That hand is a grater,mano,grattugia,rugoso,4,9,6,2,0.3,215,"2,33","5,153846154","5,807692308","5,653846154","6,291666667","6,166666667","6,541666667",N,N,N,Y,Y,N,N,N,Y
FA302,BODY_Met_8,"5,2",Nominal predicative,Quel naso è un uncino,Quel naso è proprio affilato,That nose is a hook,naso,uncino,affilato,4,6,8,4,0.6,167,"2,22","4,653846154","5,076923077","5,730769231","5,041666667","5,583333333","6,125",N,N,N,Y,N,N,N,N,N
FA303,BODY_Met_13,"6,75",Nominal predicative,Quei denti sono una ghigliottina,Quei denti sono ingialliti,Those teeth are a guillotine,dente,ghigliottina,ingiallito,5,12,10,6,0.78,111,"2,05","3,730769231","5,038461538","5,807692308","6,25","5,833333333","6,25",N,N,N,Y,N,N,Y,N,N
FA304,BODY_Met_14,"7,2",Nominal predicative,Quelle palpebre sono serrande,Quelle palpebre sono socchiuse,Those eyelids are shutters,palpebra,serranda,socchiuso,8,8,9,9,0.95,7,"0,85","3,076923077","4,576923077","5,153846154","6,291666667","5,916666667","6,583333333",N,N,N,Y,N,N,N,N,N
FA305,BODY_Met_15,"6,8",Nominal predicative,Quelle ciglia sono un ventaglio,Quelle ciglia sono molto folte,Those eyelashes are a fan,ciglia,ventaglio,folto,6,9,5,13,1.1100000000000001,106,"2,03","4,153846154","5,538461538","5,769230769","6,291666667",6,"6,333333333",N,N,N,Y,N,N,N,N,N
FA306,BODY_Met_16,"6,6",Nominal predicative,Quei piedi sono zattere,Quei piedi sono puzzolenti,Those feet are a raft,piede,zanzare,puzzolente,5,7,10,15,1.18,14,"1,15","3,615384615","5,269230769","5,653846154","6,541666667","6,041666667","6,666666667",N,N,N,N,N,N,N,N,N
FA307,BODY_Met_17,"3,6",Nominal predicative,Quella pancia è una mongolfiera,Quella pancia è piatta,That belly is a hot-air balloon,pancia,mongolfiera,piatto,6,11,6,4,0.6,174,"2,24",5,"5,291666667","6,291666667","6,384615385","6,269230769","6,346153846",N,N,N,N,N,N,N,N,N
FA308,BODY_Met_18,7,Nominal predicative,Quella barba è un batuffolo,Quella barba è proprio incolta,That beard is a swab,barba,batuffolo,incolto,5,9,7,4,0.6,4,"0,6","3,583333333","4,583333333","5,541666667","6,192307692","6,730769231","6,615384615",N,N,N,N,N,N,N,N,N
FA309,BODY_Met_19,"7,2",Nominal predicative,Quegli zigomi sono montagne,Quegli zigomi sono spigolosi,Those cheekbones are mountains,zigomo,montagna,spigoloso,6,8,9,322,2.5099999999999998,6,"0,78","3,125","4,416666667","5,416666667","6,269230769","6,423076923","6,5",N,N,N,N,N,N,N,N,N
FA310,BODY_Met_20,"4,4",Nominal predicative,Quelle gambe sono trampoli,Quelle gambe sono slanciate,Those legs are stilts,gamba,trampolo,slanciato,5,8,9,1,0,6,"0,78","5,208333333","5,708333333","6,5","6,423076923","6,230769231","6,423076923",N,N,N,N,N,N,N,N,N
FA311,BODY_Met_21,"6,6",Nominal predicative,Quella caviglia è un pallone,Quella caviglia è proprio gonfia,That ankle is a football,caviglia,pallone,gonfio,8,7,6,129,2.11,12,"1,08","5,083333333","5,416666667","6,333333333","6,5","6,384615385","6,807692308",N,N,N,Y,N,N,N,N,N
