annotator,metaphor,familiarity,meaningfulness,body relatedness
rater_1,Quell'alito è una fogna,6,7,5
rater_1,Quell'uragano è un carrarmato,5,6,2
rater_1,Quella borsa è un macigno,4,5,4
rater_1,Quella città è una giungla,7,7,3
rater_1,Quelle guance sono pesche,6,7,6
rater_1,Quel bacio è un peperoncino,5,6,6
rater_1,Quella bocca è una fragola,7,7,6
rater_1,Quella locomotiva è un drago,6,7,4
rater_1,Quella ruga è un burrone,5,6,5
rater_1,Quel vestito è una tenda,4,5,3
rater_1,Quel lago è un cristallo,5,7,2
rater_1,Quel sorriso è una stella,6,7,1
rater_1,Quella pelle è una porcellana,6,7,5
rater_1,Quel prato è un velluto,5,7,2
rater_1,Quel mento è un precipizio,3,4,5
rater_1,Quel viso è una seta,6,7,5
rater_1,Quella nebbia è un muro,4,6,2
rater_1,Quell'orecchio è una padella,2,3,5
