ID_FA,ID_Moveme,Inclusiveness,Met_structure,Metaphor,Literal,Translation (Eng),Met_topic,Met_vehicle,Lit_topic,Length_Met_Topic,Length_Vehicle,Length_Lit_Topic,FamMoveme_Met,SensMoveme_Met,FamLevelMoveme_Met,FamMoveme_Lit,SensMoveme_Lit,FamLevelMoveme_Lit,Bambini et al. (2013),Bambini et al. (2016),Canal et al. (2022),Bambini et al. (2024),Lago et al. (2024),IUSS NEPLab MetaBody study,IUSS NEPLab MetaImagery study,IUSS NEPLab MetaStep study
FA242,sent_1,"7,8",Predicate,Alice disegna il suo futuro con Alberto,Il figlio disegna un ritratto della mamma,Alice is building her future with Alberto/Alice is shaping her future with Alberto,futuro,disegnare,ritratto,6,7,8,"4,866666667","5,655172414",LOW,"6,033333333","6,266666667",HIGH,N,N,N,N,N,N,N,N
FA243,sent_2,7,Predicate,Laura ricama il discorso con tanti dettagli,La signora ricama un centrino all' uncinetto,Laura embellishes her speech with many details/Laura weaves her speech with rich detail,discorso,ricamare,centrino,8,6,8,"4,6","6,137931034",LOW,"6,233333333","6,2",HIGH,N,N,N,N,N,N,N,N
FA244,sent_3,"6,8",Predicate,Guido timbra il passaggio all' età adulta ,Il dottore timbra la ricetta del paziente,Guido is marking his entry into adulthood/Guido is punching his ticket to adulthood,passaggio,timbrare,ricetta,9,6,7,"2,6","4,413793103",LOW,"6,566666667","6,233333333",HIGH,N,N,N,N,N,N,N,N
FA245,sent_4,"8,2",Predicate,Gaia rammenda i rapporti con i genitori,Gianna rammenda i pantaloni del marito,Gaia is mending her relationship with her parents/Gaia is patching things up with her parents,rapporto,rammendare,pantalone,8,8,9,"2,933333333","4,137931034",LOW,"6,366666667","6,1",HIGH,N,N,N,N,N,N,N,N
FA246,sent_5,"8,2",Predicate,Il giornalista accende l'interesse di Luca,Federica accende la televisione in cucina,The journalist sparks Luca's interest/The journalist ignites Luca's curiosity,interesse,accendere,televisione,9,7,11,"4,6","5,655172414",LOW,"6,766666667","6,233333333",HIGH,N,N,N,N,N,N,N,N
FA247,sent_6,"8,4",Predicate,Il professore apre la mente degli alunni,Francesca apre la finestra della camera,The teacher opens his students' minds,mente,aprire,finestra,5,4,8,"5,466666667","6,448275862",HIGH,"6,766666667","6,233333333",HIGH,N,N,N,N,N,N,N,N
FA248,sent_7,"7,8",Predicate,Il laureato chiude un capitolo della sua vita,Maurizio chiude il portone dell' ingresso,The graduate is closing a chapter of his life,capitolo,chiudere,portone,8,6,7,"5,133333333","6,344827586",LOW,"6,566666667","6,066666667",HIGH,N,N,N,N,N,N,N,N
FA249,sent_8,"7,8",Predicate,Matilde getta la tristezza alle spalle,Matteo getta l' immondizia nel cassonetto,Matilde is leaving her sadness behind/Matilde is putting her sadness behind her,tristezza,gettare,immondizia,9,5,10,"4,933333333","6,206896552",LOW,"6,733333333","6,266666667",HIGH,N,N,N,N,N,N,N,N
FA250,sent_9,"5,2",Predicate,Il carabiniere monta gli indizi del delitto,Giovanni monta il gioco secondo le istruzioni,The officer is piecing together the clues of the crime,indizio,montare,gioco,7,5,5,"3,2","3,931034483",LOW,"6,7","6,333333333",HIGH,N,N,N,N,N,N,N,N
FA251,sent_10,"7,6",Predicate,La nonna attacca i ricordi nella memoria,Il maestro attacca l' avviso alla bacheca,Grandma holds on to her memories/Grandma pins memories in her mind,ricordo,attaccare,avviso,7,7,6,"3,133333333",4,LOW,"6,266666667","6,133333333",HIGH,N,N,N,N,N,N,N,N
FA252,sent_11,"7,4",Predicate,Lo scienziato spacca il problema nei dettagli,Il boscaiolo spacca il tronco con l' ascia,The scientist is breaking the problem down into details,problema,spaccare,tronco,8,6,6,"2,933333333","3,689655172",LOW,"6,366666667","6,1",HIGH,N,N,N,N,N,N,N,N
FA253,sent_12,7,Predicate,Il cacciatore rompe la quiete del bosco,Giuseppe rompe il bicchiere di cristallo,The hunter is breaking the forest's silence,quiete,rompere,bicchiere,6,5,9,"4,333333333","6,068965517",LOW,"6,366666667",6,HIGH,N,N,N,N,N,N,N,N
FA254,sent_13,8,Predicate,Monica butta le speranze nel dimenticatoio,Camilla butta la confezione nella spazzatura,Monica is burying her hopes/Monica is casting her hopes into oblivion,speranza,buttare,confezione,8,5,10,"4,666666667","6,137931034",LOW,"6,366666667","6,066666667",HIGH,N,N,N,N,N,N,N,N
FA255,sent_14,"7,8",Predicate,Vittorio spezza la noia con un film,Il commensale spezza il pane sul tavolo,Vittorio is killing boredom with a movie/Vittorio is breaking the boredom with a movie,noia,spezzare,pane,4,6,4,"4,2","5,103448276",LOW,"5,766666667","5,933333333",HIGH,N,N,N,N,N,N,N,N
FA256,sent_15,"8,4",Predicate,L'avvocato tocca il centro della questione,Tommaso tocca la neve per la prima volta,The lawyer is getting to the heart of the matter,centro,toccare,neve,6,5,4,"5,066666667","6,24137931",LOW,"6,566666667","6,3",HIGH,N,N,N,N,N,N,N,N
